issn_l,citescore_analogo
2525-6092,0.08
2525-3050,0.0
2452-5812,0.25
2525-4472,0.0
2474-9214,0.78
2455-9806,0.14
2448-4245,0.0
2448-3060,0.18
2525-8761,0.44
2531-1379,0.11
2572-9241,3.24
2525-8311,0.03
2525-7870,0.17
2564-7040,0.68
2525-9008,0.0
2573-9832,2.03
2526-1606,0.07
2571-8797,5.32
2573-8488,2.13
2525-8923,0.14
2526-1010,0.31
2526-3544,0.18
2527-0524,0.0
2526-849X,0.07
2548-0839,2.08
2525-8036,0.14
2573-2919,0.44
2526-7647,0.18
2525-815X,0.29
2526-6136,0.3
2526-2874,0.21
2527-1849,0.12
2526-5970,0.08
2527-1288,0.12
2525-9563,0.05
2526-3943,0.08
2526-1487,0.07
2572-5505,1.74
2525-7056,0.21
2526-4052,0.04
2527-2039,0.11
2526-9550,0.22
2526-8007,0.25
2526-2122,0.08
2527-0915,0.0
2526-7914,0.0
2526-9461,0.08
2573-363X,1.5
2589-0042,4.56
2574-0970,6.59
2574-0962,5.61
2576-098X,0.76
2582-5542,0.34
2589-014X,3.1
2589-1529,2.96
2595-1661,0.22
2594-5394,0.08
2575-7938,0.66
2595-0118,0.35
2578-5478,1.25
2595-1459,0.15
2595-3206,0.11
2587-0831,1.89
2595-2803,0.06
2574-1225,0.72
2576-4454,2.12
2594-7036,0.29
2586-7210,1.77
2574-8130,0.18
2594-9179,0.05
2594-6463,0.38
2594-6412,0.07
2595-1378,0.08
2595-0967,0.09
2594-3901,0.09
2589-9791,1.69
2594-5467,0.09
2594-6307,0.0
2578-7470,1.95
2595-0428,0.21
2595-1521,0.0
2577-4301,0.17
2595-1033,0.03
2591-5339,0.0
2577-2236,0.26
2582-3353,0.0
2594-7354,0.0
2590-1532,0.0
2595-6825,0.19
2631-8695,1.54
2624-9367,2.43
2595-573X,0.15
2644-125X,5.91
2665-9271,7.78
2624-7402,3.63
2596-1969,0.0
2595-3621,0.23
2595-4520,0.05
2595-8402,0.18
2644-1314,4.85
2595-7899,0.12
2666-142X,4.36
2639-216X,0.38
2595-4431,0.03
2624-5175,2.69
2595-4911,0.08
2666-335X,1.01
2644-1241,3.21
2617-4839,0.09
2631-5343,1.82
2613-4942,0.0
2634-2235,1.36
2632-0517,1.01
2634-4793,0.82
2640-2734,0.31
2596-0016,0.19
2659-8620,0.18
2659-8779,0.07
2595-4229,0.02
2596-156X,0.0
2596-3082,0.32
2596-3155,0.06
2630-4953,4.5
2640-2645,0.72
2659-5699,0.38
2595-7651,0.15
2643-4008,0.2
2596-1403,0.21
2675-3375,0.16
2674-8169,0.32
2667-2421,2.91
2674-9432,0.12
2673-3161,2.48
2673-7647,2.29
2674-8703,0.15
2666-8319,7.28
2666-5174,4.36
2673-7515,2.69
2673-5318,1.52
2674-5976,0.14
2673-3129,4.37
2675-2999,0.13
2666-3376,3.07
2674-7081,0.08
2675-3065,0.02
2673-4125,1.76
2673-7655,2.58
2674-9009,0.06
2674-7189,0.14
2673-4184,1.46
2674-9270,0.1
2673-5601,2.51
2673-6772,1.25
2675-3626,0.22
2674-1334,6.22
2674-1024,3.35
2666-9781,6.16
2673-3846,2.0
2667-3436,1.48
2675-1526,0.12
2675-2883,0.06
2675-1003,0.0
2675-1933,0.0
2673-706X,3.84
2675-3359,0.08
2674-0710,1.51
2674-709X,0.0
2675-3006,0.05
2675-6218,0.2
2764-0159,0.06
2675-4711,0.08
2753-4294,2.1
2675-7451,0.08
2763-583X,0.04
2763-5724,0.24
2724-5683,2.26
2675-9780,0.97
2675-5157,0.03
2675-5211,0.52
2675-519X,0.25
2731-4561,0.65
2694-2461,5.21
2710-1452,0.53
2694-2445,3.48
2702-4288,1.6
2692-3114,5.52
2675-4916,0.16
2675-8008,0.17
2675-7222,0.0
2731-5533,2.59
2763-8405,0.19
2764-0868,0.18
2763-6119,0.17
2676-0029,0.3
2764-0337,0.02
2763-7824,0.28
2683-7404,0.05
2675-9616,0.1
2675-4673,0.03
2696-8444,0.16
2763-8030,0.24
2683-2348,0.32
2692-7918,0.2
2763-9134,0.06
2675-4398,0.03
2694-1724,0.27
2692-4706,0.15
2675-4177,0.0
2949-8228,2.51
2965-1476,0.02
2772-3755,5.18
2772-9508,5.25
2965-6613,0.08
2766-2276,0.45
2949-8244,3.06
2764-1317,0.1
2772-3747,2.15
2764-4294,0.01
2764-1589,0.29
2950-1997,1.29
2950-1946,5.2
2949-8295,3.68
2764-0884,0.14
2764-0973,0.04
2764-3417,0.8
2768-6655,2.5
2965-1980,0.02
2965-0968,0.19
2813-0413,2.13
2831-3267,1.01
2828-9269,0.26
2773-093X,1.65
2764-6645,0.0
2832-8280,1.4
2833-2237,0.41
2764-1422,0.04
2832-4463,0.36
2788-6492,0.24
2771-4683,3.19
2941-198X,8.99
2764-5576,0.18
2813-3064,1.39
2965-0356,0.02
2965-0771,0.05
2965-1662,0.13
2767-5122,0.45
2766-0664,0.09
2815-9241,3.12
2965-6672,0.01
3005-0774,1.08
2966-2931,0.13
2966-1668,0.11
3065-8993,0.8
3005-1207,2.42
2966-2249,0.06
3029-052X,1.49
3085-6337,0.07
3085-6124,0.18
3033-3318,1.08
3022-6783,1.4
3029-133X,4.91
3064-9765,0.8
2977-3504,1.85
3029-1232,1.0
2996-0975,0.32
2966-0408,0.24
3086-173X,0.06
2966-1455,0.08
3086-3635,0.0
2966-3806,0.03
3101-0393,0.0
3086-0725,0.0
3071-2521,0.06
