issn_l,citescore_analogo
0103-7978,0.18
0109-5641,2.61
0105-2896,10.26
0112-1642,8.42
0120-4157,0.86
0105-6263,0.0
0104-5970,0.16
0104-6632,1.67
0104-4060,0.37
0104-3579,0.1
0104-754X,0.3
0120-0488,0.27
0120-5307,1.58
0104-7809,0.12
0104-4931,0.49
0104-530X,0.91
0120-0534,1.08
0104-6829,0.12
0104-7043,0.18
0104-3552,0.31
0104-7795,0.06
0120-2812,0.87
0104-8740,0.08
0104-4036,0.69
0120-0011,2.08
0104-4443,0.17
0104-8775,0.07
0120-677X,0.04
0104-5962,0.16
0104-8481,0.16
0104-9712,0.08
0104-3757,0.14
0104-639X,0.1
0104-9224,1.0
0104-8929,0.02
0104-6497,0.69
0104-6330,0.0
0104-4486,0.0
0104-6578,0.33
0104-3463,0.0
0104-7841,0.04
0146-0404,3.67
0141-8130,8.78
0146-9592,3.38
0148-396X,1.0
0160-5682,2.46
0144-8420,1.05
0147-8389,1.1
0148-7299,0.0
0143-4004,1.14
0145-482X,0.67
0141-7681,2.81
0142-0356,3.26
0143-5221,4.94
0144-3615,1.82
0140-0118,3.5
0145-2134,3.31
0148-6071,2.51
0143-2885,4.65
0137-5881,2.7
0143-7496,4.04
0129-1831,1.17
0145-8876,2.78
0148-5598,8.63
0147-9563,1.95
0148-3927,4.33
0161-2840,1.97
0141-9838,0.99
0145-5680,1.78
0129-167X,0.53
0120-8322,0.59
0149-6085,2.91
0149-0451,2.87
0139-3006,0.91
0124-0064,1.35
0120-9965,1.5
0121-3814,0.34
0121-4500,0.96
0123-9155,1.14
0121-215X,0.85
0128-0899,0.11
0167-577X,2.68
0167-5273,2.45
0161-7567,3.17
0167-7322,6.49
0163-2116,1.81
0165-0327,4.95
0161-6420,3.72
0161-8105,0.76
0167-6369,4.26
0166-4328,2.89
0168-1656,4.09
0165-1781,4.44
0166-1280,0.0
0165-5876,1.43
0162-0134,2.77
0165-0114,2.65
0165-2478,2.95
0165-0270,2.83
0163-4984,3.45
0166-8641,0.41
0167-594X,2.93
0168-1702,3.75
0165-2370,6.95
0166-445X,4.6
0167-7012,1.8
0167-1987,7.42
0167-4943,4.69
0165-7380,1.76
0167-9899,0.0
0167-4366,3.03
0166-4972,8.84
0161-813X,2.75
0165-2125,2.49
0165-1838,0.0
0161-4754,0.69
0167-8396,1.87
0162-3109,0.0
0162-2889,2.94
0161-9152,0.0
0165-0521,0.6
0195-9131,0.5
0195-668X,2.98
0169-4332,6.33
0190-9622,0.96
0168-8278,2.35
0194-911X,3.47
0196-8904,11.98
0175-7598,6.84
0168-3659,10.67
0198-8859,1.03
0196-6553,1.2
0217-9792,2.31
0217-751X,1.23
0170-0839,4.25
0195-6663,3.74
0217-7323,1.49
0195-6701,2.7
0192-8651,2.74
0192-0790,2.15
0172-0643,1.17
0197-4572,2.29
0213-9111,0.19
0172-4622,4.68
0171-2985,1.84
0172-2190,2.84
0179-1613,1.0
0190-6011,4.63
0195-6671,1.65
0169-8141,3.55
0175-7571,1.52
0212-4521,0.95
0191-3123,1.08
0187-893X,0.51
0190-0528,1.38
0211-6057,0.34
0185-3325,0.91
0211-5638,0.1
0189-6725,0.32
0212-8799,0.25
0188-8145,1.31
0255-5476,2.22
0272-8842,5.91
0263-6352,0.63
0257-8972,7.24
0268-3768,3.99
0268-1161,1.18
0254-0584,5.64
0263-8762,7.39
0223-5234,6.06
0261-5614,6.08
0264-1275,5.89
0266-4356,0.54
0260-8774,5.58
0268-3369,3.06
0256-7040,1.25
0254-6299,3.14
0263-7154,1.78
0254-5330,3.83
0268-2605,5.09
0264-0414,3.03
0271-5333,1.27
0264-2751,6.9
0266-8254,2.36
0250-7005,1.49
0271-3683,1.72
0268-1218,3.7
0271-7352,2.62
0250-4707,2.02
0260-437X,2.01
0268-8921,2.73
0263-2136,1.61
0250-6807,2.35
0272-4634,1.33
0267-8179,1.75
0251-5350,2.65
0260-7476,2.1
0219-1997,0.9
0254-9247,0.41
0251-2513,1.51
0253-5645,0.0
0302-9743,1.54
0272-9172,0.0
0304-3940,2.01
0273-1223,4.13
0278-2391,0.96
0277-5387,2.7
0295-5075,2.07
0301-0104,2.66
0302-766X,2.99
0278-6915,2.97
0304-4165,2.98
0301-4851,3.14
0300-5771,4.49
0300-8177,4.18
0304-4017,2.45
0303-7207,3.61
0300-0664,2.21
0303-8467,2.09
0275-004X,1.48
0273-2289,2.93
0278-4297,1.41
0303-6979,5.43
0300-9475,1.84
0278-5846,3.58
0300-8916,1.06
0301-472X,0.8
0300-8126,3.93
0301-486X,3.17
0300-5577,1.81
0300-9777,1.73
0278-0240,1.0
0279-5442,1.12
0300-8649,0.89
0301-4460,2.19
0302-282X,2.94
0304-419X,7.3
0304-2847,1.38
0301-0406,0.25
0303-7657,0.4
0304-2685,0.12
0305-1048,16.17
0304-8853,2.8
0361-1981,2.0
0306-4522,2.83
0340-6245,3.14
0340-6199,2.63
0305-7364,3.07
0306-5251,2.35
0306-8919,4.79
0306-3674,6.31
0309-0167,3.08
0344-0338,4.49
0362-2525,1.22
0309-1740,6.05
0343-8651,2.59
0344-5704,2.26
0341-2695,2.51
0305-1870,1.95
0315-162X,0.94
0305-0270,2.3
0340-7004,5.44
0334-018X,0.96
0340-0131,3.08
0308-521X,5.86
0344-5607,2.04
0306-4565,2.98
0360-3997,5.22
0342-5282,1.35
0360-1234,1.78
0361-7734,1.7
0309-524X,2.02
0360-2532,4.86
0361-6525,1.13
0361-073X,1.42
0340-6725,0.88
0327-9545,1.73
0311-5518,2.32
0326-7091,0.08
0328-820X,0.16
0352-9568,1.71
0370-2693,4.34
0375-9601,2.93
0378-7753,7.8
0370-1972,1.96
0378-1097,1.87
0378-4371,3.0
0378-1119,3.03
0378-5173,6.63
0378-8741,5.39
0363-6135,3.33
0364-5134,5.08
0377-0427,1.99
0363-6119,2.12
0378-7796,4.3
0378-5122,2.44
0377-0486,1.96
0390-6078,1.79
0377-8401,2.5
0378-3782,2.19
0378-4320,2.1
0370-4661,0.13
0367-326X,2.87
0378-1909,1.47
0363-3624,1.24
0365-0596,1.73
0378-7346,2.3
0370-4106,0.0
0363-0269,0.75
0376-6160,0.66
0390-6663,1.1
0363-0242,1.96
0370-6583,0.68
0378-1844,0.13
0370-4467,0.59
0375-0906,0.16
0379-4350,0.77
0390-5616,1.18
0391-2078,2.97
0366-0567,0.0
0375-0183,0.76
0732-183X,1.7
0735-1097,1.25
0556-2791,2.86
0398-9836,2.8
0721-832X,2.22
0731-7085,3.56
0587-4246,0.79
0724-8741,3.7
0732-8893,1.86
0531-5565,3.92
0733-9372,1.66
0735-7044,1.72
0735-0414,1.97
0722-4060,1.39
0717-9367,0.49
0736-2935,0.18
0721-7595,3.84
0730-4625,0.87
0733-9496,2.22
0733-4648,1.72
0482-5004,2.89
0718-560X,1.02
0717-3458,3.43
0736-5829,1.52
0716-1549,0.32
0392-2936,0.39
0440-6605,0.92
0560-4613,0.34
0511-9618,0.97
0394-6169,1.09
0576-9787,1.44
0717-6945,0.85
0717-2079,0.32
0717-6767,0.0
0394-6975,0.53
0718-0306,0.0
0716-4491,0.04
0718-7475,0.0
0717-408X,0.44
0425-4082,0.04
0849-6757,0.0
0743-7463,4.73
0753-3322,8.37
0884-1616,2.62
0885-3924,0.98
0832-610X,2.38
0737-0806,0.68
0885-8977,3.93
0770-3198,2.04
0739-1102,2.64
0767-0974,0.41
0737-4038,8.64
0882-4010,3.73
0883-9441,1.77
0740-7769,2.53
0737-3937,3.22
0785-3890,4.09
0742-0528,2.16
0873-2159,0.0
0765-1597,0.63
0748-1187,1.71
0885-0666,2.09
0739-9332,1.43
0885-8624,4.7
0870-2551,0.94
0882-0139,2.28
0882-8245,1.68
0778-7367,3.08
0738-0151,0.83
0792-4259,0.63
0860-021X,3.54
0864-0319,0.0
0874-0283,0.3
0885-1158,1.02
0874-2049,0.38
0871-4657,0.24
0871-9187,0.77
0871-018X,0.0
0870-1741,0.08
0873-1152,0.17
0892-6638,3.27
0888-5885,4.25
0921-4526,3.78
0885-8993,5.81
0920-5861,5.53
0888-7543,3.34
0887-3585,2.13
0894-9115,1.48
0905-7161,3.94
0899-9007,2.7
0889-1575,5.29
0889-2229,1.34
0902-0063,1.63
0902-4441,1.99
0921-4488,1.62
0890-6238,3.32
0886-022X,4.0
0920-4741,5.5
0916-9636,3.72
0893-3952,7.38
0895-9811,1.75
0897-3806,2.21
0915-5287,0.93
0891-4222,3.17
0891-6632,3.22
0920-1742,2.9
0920-5063,3.53
0894-1130,1.2
0891-6934,4.48
0891-2963,1.38
0891-5520,3.15
0888-4390,3.59
0897-1897,2.51
0892-7014,2.41
0887-7963,1.78
0906-6691,1.64
0914-7470,2.4
0895-2779,1.71
0887-2171,1.17
0899-0220,0.85
0925-8388,6.12
