source,issn,n,classe,sinais_curadoria,doaj,scimago,qualis_estilo,apc,retratacoes,citacao_media
Revista de Educação Popular,16785622,15,Indexada,1,True,False,False,False,0,0.7
Revista de Saúde Pública,00348910,15,Indexada,3,True,True,True,True,0,17.0
Brazilian Journal of Anesthesiology,00347094,14,Indexada,2,True,False,True,False,0,10.4
International Journal of Sports Medicine,01724622,14,Indexada,2,False,True,True,False,0,30.6
Journal of Human Growth and Development,01041282,14,Indexada,3,True,True,True,False,0,7.9
Materials Research,15161439,14,Indexada,3,True,True,True,False,0,18.1
Psicologia Teoria e Pesquisa,01023772,14,Indexada,3,True,True,True,False,0,10.2
Química Nova,01004042,14,Indexada,3,True,True,True,True,0,3.0
ABCD Arquivos Brasileiros de Cirurgia Digestiva (São Paulo),01026720,13,Indexada,2,False,True,True,False,0,7.8
Dialogia,16771303,13,Indexada,1,True,False,False,False,0,0.4
Educação em Revista,01024698,13,Indexada,1,True,False,False,False,0,3.7
Interface - Comunicação Saúde Educação,14143283,13,Indexada,3,True,True,True,True,0,7.4
Reme Revista Mineira de Enfermagem,14152762,13,Indexada,1,True,False,False,True,0,6.4
Revista Em Extensão,15186369,13,Indexada,1,True,False,False,False,0,0.6
Revista Subjetividades,23590769,13,Indexada,1,True,False,False,False,0,2.3
Sport Sciences for Health,18247490,13,Indexada,2,False,True,True,True,0,2.5
Acta Scientiarum Health Sciences,16799291,12,Indexada,3,True,True,True,False,0,3.4
Arquivos de Ciências da Saúde da UNIPAR,1415076X,12,Indexada,1,True,False,False,False,0,1.0
Brazilian Journal of Biology,15196984,12,Indexada,3,True,True,True,True,0,8.7
Brazilian Journal of Nephrology,01012800,12,Indexada,3,True,True,True,False,0,8.4
Caminhos de Geografia,16786343,12,Indexada,1,True,False,False,False,0,0.9
Ciência Rural,01038478,12,Indexada,3,True,True,True,True,0,12.6
Estudos de Psicologia (Campinas),0103166X,12,Indexada,3,True,True,True,False,0,10.3
Frontiers in Immunology,16643224,12,Indexada,3,True,True,True,True,0,16.5
Frontiers in Microbiology,1664302X,12,Indexada,3,True,True,True,True,0,23.0
The Journal of Maternal-Fetal & Neonatal Medicine,14764954,12,Indexada,3,True,True,True,False,0,18.9
journal of physical education,01033948,12,Indexada,2,True,False,True,False,0,5.2
Brazilian Journal of Microbiology,15178382,11,Indexada,2,False,True,True,True,0,9.2
Cadernos Cajuína,24480916,11,Indexada,1,True,False,False,False,0,0.0
Experimental Parasitology,00144894,11,Indexada,2,False,True,True,True,0,17.6
Genetics and Molecular Research,16765680,11,Indexada,2,False,True,True,False,0,2.5
Immunobiology,01712985,11,Indexada,3,True,True,True,True,0,27.1
Jornal Brasileiro de Psiquiatria,00472085,11,Indexada,3,True,True,True,False,0,20.5
Revista Brasileira de Epidemiologia,1415790X,11,Indexada,3,True,True,True,False,0,30.9
Revista Brasileira em Promoção da saúde,18061222,11,Indexada,2,True,False,True,False,0,2.6
Revista Educação e Políticas em Debate,22388346,11,Indexada,1,True,False,False,False,0,1.9
Revista Neurociências,01043579,11,Indexada,1,False,False,True,False,0,2.0
Revista Paulista de Pediatria,01030582,11,Indexada,3,True,True,True,False,0,21.8
Saúde e Sociedade,01041290,11,Indexada,3,True,True,True,False,0,10.3
Temas em Psicologia,1413389X,11,Indexada,1,False,False,True,False,0,8.5
The FASEB Journal,08926638,11,Indexada,2,False,True,True,True,0,3.9
ABCS Health Sciences,23184965,10,Indexada,1,True,False,False,False,0,2.4
Cadernos Saúde Coletiva,1414462X,10,Indexada,1,True,False,False,False,0,5.6
Disease Markers,02780240,10,Indexada,1,False,False,True,True,0,12.7
Einstein (São Paulo),16794508,10,Indexada,3,True,True,True,False,0,6.9
IEEE Latin America Transactions,15480992,10,Indexada,2,False,True,True,False,0,9.9
Interação em Psicologia,19818068,10,Indexada,3,True,True,True,False,0,1.2
Journal of Alloys and Compounds,09258388,10,Indexada,2,False,True,True,True,0,16.6
Journal of Hypertension,02636352,10,Indexada,2,False,True,True,False,0,5.4
Menopause The Journal of The North American Menopause Society,10723714,10,Indexada,2,False,True,True,False,0,9.9
Mycopathologia,0301486X,10,Indexada,2,False,True,True,True,0,18.7
PLoS neglected tropical diseases,19352727,10,Indexada,3,True,True,True,True,0,41.1
Revista Brasileira de Educação Física e Esporte,18075509,10,Indexada,1,True,False,False,True,0,1.5
Revista Brasileira de Medicina do Trabalho,16794435,10,Indexada,3,True,True,True,False,0,3.7
Revista Colombiana de Ciencias Hortícolas,20112173,10,Indexada,2,False,True,True,False,0,3.4
Revista de Enfermagem da UFSM,21797692,10,Indexada,1,True,False,False,True,0,3.3
Revista de Epidemiologia e Controle de Infecção,22383360,10,Indexada,1,True,False,False,False,0,1.0
Revista do Colégio Brasileiro de Cirurgiões,01006991,10,Indexada,3,True,True,True,True,0,5.5
Saúde (Santa Maria),01034499,10,Indexada,1,True,False,False,False,0,0.7
ACTIO Docência em Ciências,25258923,9,Indexada,1,True,False,False,False,0,1.3
Acta Tropica,0001706X,9,Indexada,2,False,True,True,True,0,24.8
Arquivos Brasileiros de Oftalmologia,00042749,9,Indexada,2,False,True,True,False,0,3.0
BMC Public Health,14712458,9,Indexada,3,True,True,True,True,0,38.3
Dalton Transactions,14779226,9,Indexada,2,False,True,True,False,0,17.6
Estudos e Pesquisas em Psicologia,16763041,9,Indexada,1,True,False,False,False,0,4.1
Gestão & Produção,0104530X,9,Indexada,3,True,True,True,True,0,8.2
International Journal of Biological Macromolecules,01418130,9,Indexada,2,False,True,True,True,0,35.1
Investigación y Educación en Enfermería,01205307,9,Indexada,3,True,True,True,False,0,12.2
Jornal Brasileiro de Patologia e Medicina Laboratorial,16762444,9,Indexada,2,False,True,True,False,0,5.8
Jornal de Pediatria,00217557,9,Indexada,3,True,True,True,True,0,17.3
Journal of Biomolecular Structure and Dynamics,07391102,9,Indexada,2,False,True,True,False,0,13.4
Journal of Materials Science,00222461,9,Indexada,2,False,True,True,True,0,17.9
Life Sciences,00243205,9,Indexada,2,False,True,True,True,0,16.1
Movimento (Porto Alegre),0104754X,9,Indexada,3,True,True,True,False,0,4.6
Orbital - The Electronic Journal of Chemistry,19846428,9,Indexada,3,True,True,True,False,0,1.9
REVISTA DE AGRICULTURA NEOTROPICAL,23586303,9,Indexada,3,True,True,True,False,0,4.8
Revista Brasileira de Educação Médica,01005502,9,Indexada,1,True,False,False,True,0,5.3
Revista Brasileira de Oftalmologia,00347280,9,Indexada,3,True,True,True,False,0,2.8
Revista Cubana de Enfermería,08640319,9,Indexada,1,False,True,False,False,0,1.2
The Journal of Chemical Physics,00219606,9,Indexada,2,False,True,True,True,0,9.3
Brazilian Journal of Anesthesiology (English Edition),01040014,8,Indexada,3,True,True,True,False,0,6.9
Chemical Physics Letters,00092614,8,Indexada,2,False,True,True,True,0,8.1
Educação Ciência e Cultura,14137321,8,Indexada,1,True,False,False,False,0,0.6
