sdg_id,source,n
14,Anais do Congresso Brasileiro da Associação Brasileira de Fisioterapia Traumato-Ortopédica - ABRAFITO,1
14,Anatomia Histologia Embryologia,1
14,Animal Reproduction Science,1
14,Annales Zoologici Fennici,1
14,Anti-Cancer Drugs,1
14,Anuário de Literatura,1
14,Aquatic Sciences,1
14,Arquivos Brasileiros de Neurocirurgia Brazilian Neurosurgery,1
14,Arquivos de Neuro-Psiquiatria,1
14,Austral Ecology,1
14,BMC Genomics,1
14,BMC Research Notes,1
14,Berichte aus der medizinischen Informatik und Bioinformatik/Journal of integrative bioinformatics,1
14,Biochimica et Biophysica Acta (BBA) - Biomembranes,1
14,Biologia,1
14,Biological Bulletin,1
14,Biological Journal of the Linnean Society,1
14,Bioorganic & Medicinal Chemistry Letters,1
14,Brazilian Journal of Chemical Engineering,1
14,Brazilian Journal of Medical and Biological Research,1
14,Brazilian Journal of Microbiology,1
14,Brazilian Journal of Veterinary Pathology,1
14,British Journal of Obstetrics and Gynaecology,1
14,Bulletin of Phylogenetic Nomenclature,1
14,Caderno Pedagógico,1
14,Cambridge University Press eBooks,1
14,Clinical Pharmacology & Therapeutics,1
14,Comparative Biochemistry and Physiology Part C Toxicology & Pharmacology,1
14,Comparative Exercise Physiology,1
14,Conjecturas,1
14,Current Issues in Molecular Biology,1
14,Current Microbiology,1
14,Data in Brief,1
14,Diversity,1
14,EPiC series in engineering,1
14,Environmental Biology of Fishes,1
14,Estuaries and Coasts,1
14,European Endodontic Journal,1
14,Eventos Científicos da Fundação Educacional de Ituverava,1
14,Experimental Biology and Medicine,1
14,Fish Physiology and Biochemistry,1
14,Fisheries Management and Ecology,1
14,Fisioterapia e Pesquisa,1
14,Frontiers in Immunology,1
14,Genetics and Molecular Biology,1
14,Geologia USP Série Científica,1
14,Gondwana Research,1
14,Hemoglobin,1
14,IOSR Journal of Pharmacy and Biological Sciences,1
14,Iheringia Série Zoologia,1
14,Iniciação Científica Cesumar,1
14,International Journal of Hydrology,1
14,Invertebrate Reproduction & Development,1
14,Journal of Agricultural Science,1
14,Journal of Biotechnology,1
14,Journal of Chinese Integrative Medicine,1
14,Journal of Education Science and Health,1
14,Journal of Experimental Zoology Part A Ecological and Integrative Physiology,1
14,Journal of Herpetology,1
14,Journal of Morphology,1
14,Journal of Natural History,1
14,Journal of Vertebrate Paleontology,1
14,Journal of Zoology,1
14,LWT,1
14,Marine Biodiversity,1
14,Marine Biology,1
14,Medical Express,1
14,"Medicina oral, patología oral y cirugía bucal",1
14,Medicine & Science in Sports & Exercise,1
14,Microbes and Infection,1
14,Microorganisms,1
14,Molecular and Cellular Biochemistry,1
14,Morphologie,1
14,Motriz Revista de Educação Física,1
14,Mycopathologia,1
14,Natural Product Communications,1
14,Nauplius,1
14,Neotropical Biology and Conservation,1
14,Neotropical Ichthyology,1
14,Ophthalmology,1
14,Orbital - The Electronic Journal of Chemistry,1
14,Parasites & Vectors,1
14,Parasitology,1
14,PeerJ,1
14,Pharmacological Reports,1
14,Photomedicine and Laser Surgery,1
14,Phyllomedusa Journal of Herpetology,1
14,Polar Biology,1
14,Radiologia Brasileira,1
14,Revista Brasileira de Biologia,1
14,Revista Brasileira de Ciência Tecnologia e Inovação,1
14,Revista Cereus,1
14,Revista Eletrônica em Gestão Educação e Tecnologia Ambiental,1
14,Revista Latino-Americana de Enfermagem,1
14,Revista Thema,1
14,Revista de Ciências Agroveterinárias,1
14,Scandinavian Journal of Immunology,1
14,Semina Ciências Agrárias,1
14,Stem Cell Research,1
14,Systematic Biology,1
14,The Brazilian Journal of Infectious Diseases,1
14,The Histochemical Journal,1
14,The Journal of Strength and Conditioning Research,1
14,The Laryngoscope,1
14,The Microbe,1
14,Toxicon,1
14,Transactions of the Royal Society of Tropical Medicine and Hygiene,1
14,VIREF revista de educación física,1
14,Venereology,1
15,Revista da Sociedade Brasileira de Medicina Tropical,6
15,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),5
15,Phytotaxa,5
15,The Science of The Total Environment,5
15,PLoS ONE,4
15,Research Society and Development,4
15,Revista Brasileira de Ciência Tecnologia e Inovação,4
15,Zootaxa,4
15,Acta Tropica,3
15,Check List,3
15,Ciência Rural,3
15,Ecology and Evolution,3
15,Genome Announcements,3
15,Journal of Agricultural Science,3
15,REVISTA DE AGRICULTURA NEOTROPICAL,3
15,Revista Brasileira de Meio Ambiente,3
15,Revista Colombiana de Ciencias Hortícolas,3
15,ACTA ZOOLÓGICA MEXICANA (N S ),2
15,Acta Biologica Brasiliensia.,2
15,Acta Cirúrgica Brasileira,2
15,Anatomia Histologia Embryologia,2
15,Ciência Florestal,2
15,Floresta e Ambiente,2
15,Journal of Applied Microbiology,2
15,Microorganisms,2
15,PLoS neglected tropical diseases,2
15,Parasitology Research,2
15,Planta Daninha,2
15,Research Square,2
15,Revista Brasileira de Engenharia Agrícola e Ambiental,2
15,Rodriguésia,2
15,Scientia Plena,2
15,Soil Research,2
15,Zenodo (CERN European Organization for Nuclear Research),2
15,ACS Omega,1
15,Acta Botanica Brasilica,1
15,Acta Physiologiae Plantarum,1
15,Agroforestry Systems,1
15,Agronomy,1
15,Ambiente & sociedade,1
15,Americanae (AECID Library),1
15,Animal Biodiversity and Conservation,1
15,Animal Reproduction Science,1
15,Animals,1
15,Annals of Botany,1
15,Antibiotics,1
15,Applied Research,1
15,BMC Genomics,1
15,Biodiversity and Conservation,1
15,Biological Journal of the Linnean Society,1
15,Biomolecules,1
15,Bioorganic Chemistry,1
15,Bird Conservation International,1
15,Brazilian Archives of Biology and Technology,1
15,Brazilian Geographical Journal,1
15,Brazilian Journal of Biology,1
15,Brazilian Journal of Microbiology,1
15,Cadernos CIMEAC,1
15,Chemical Geology,1
15,Chemistry & Biodiversity,1
15,Científica,1
15,Ciência e Natura,1
15,Clinical & Experimental Immunology,1
15,Collectivus Revista de Ciencias Sociales,1
15,Colloquium Agrariae,1
15,Communications Biology,1
15,Conexão Ciência (Online),1
15,Conjecturas,1
15,Contribuciones a las Ciencias Sociales,1
15,Crop Science,1
15,Current Fungal Infection Reports,1
15,Current Microbiology,1
15,DOAJ (DOAJ: Directory of Open Access Journals),1
15,Data in Brief,1
15,Diagnostic Microbiology and Infectious Disease,1
15,Dialnet (Universidad de la Rioja),1
15,Diversity,1
15,EccoS – Revista Científica,1
15,Ecology Of Freshwater Fish,1
15,Enciclopédia Biosfera,1
15,Engenharia Sanitaria e Ambiental,1
15,EntomoBrasilis,1
15,Entomological Science,1
15,Environment Development and Sustainability,1
15,Evidência,1
15,Experimental Parasitology,1
15,FLORESTA,1
15,Forests,1
15,Frontiers in Cellular and Infection Microbiology,1
15,Frontiers in Microbiology,1
15,Frontiers in Plant Science,1
15,História da Ciência e Ensino construindo interfaces,1
15,Horticultura Brasileira,1
15,Ichnos/Ichnos : an international journal for plant and animal traces,1
15,Insect Biochemistry and Molecular Biology,1
15,International Journal for Parasitology,1
15,International Journal of Current Microbiology and Applied Sciences,1
15,International Journal of Environmental Health Research,1
15,International Journal of Research in Education and Science,1
15,Journal of Coloproctology,1
15,Journal of Experimental Botany,1
15,Journal of Geographic Information System,1
15,Journal of High Energy Physics,1
15,Journal of Insect Biodiversity,1
15,Journal of Medicinal Plants Research,1
15,Journal of Obstetrics and Gynaecology,1
15,Journal of Quaternary Science,1
15,Journal of Thermal Biology,1
15,Journal of Veterinary Science,1
15,Journal of the Botanical Research Institute of Texas,1
15,Junguiana,1
15,Lubricants,1
15,Mammalian Biology,1
15,Materials & Design,1
15,Mediators of Inflammation,1
15,Memórias do Instituto Oswaldo Cruz,1
15,Mercator,1
15,Microbial Pathogenesis,1
15,Microbiology Australia,1
15,Microbiology Resource Announcements,1
15,Motriz Revista de Educação Física,1
15,Mycopathologia,1
15,Nativa,1
15,Neotropical Entomology,1
15,Next Nanotechnology,1
15,Nucleic Acids Research,1
15,Ornamental Horticulture,1
15,Parasites & Vectors,1
